Yang,RA,DEC,redshift,N200,logM200c,logM200m,R200c,R200m
2,240.5602,16.1113,0.035999998450279236,525,15.444902420043945,15.61043080796355,2.8714284896850586,3.880159897239745
4,247.1149,40.8317,0.029999999329447746,217,14.814902305603027,14.988838641010085,1.7714285850524902,2.4220034873237517
5,247.1633,39.4674,0.029999999329447746,277,14.9649019241333,15.138926939889993,2.0,2.7177167877362454
6,167.6936,28.5374,0.032999999821186066,167,14.754902839660645,14.927840689026137,1.6857142448425293,2.3045122256737995
7,351.1194,14.6251,0.041999999433755875,106,14.664902687072754,14.835094504183962,1.571428656578064,2.127630582418425
8,239.5372,27.3133,0.09000000357627869,183,15.254901885986328,15.411329095121902,2.442857265472412,3.1653055595608754
9,241.5673,18.1483,0.03799999877810478,143,14.634902000427246,14.805763776646277,1.54285728931427,2.0882845757704884
10,223.2712,16.724,0.04500000178813934,106,14.37490177154541,14.540970333947133,1.2714285850524902,1.6928023827999323
11,10.4693,-9.3997,0.0560000017285347,156,15.11490249633789,15.281540679227374,2.2142856121063232,2.957436412692569
12,14.206,-0.746,0.04399999976158142,95,14.694901466369629,14.864857661069076,1.6142857074737549,2.1726236197261137
14,228.1091,7.4642,0.04500000178813934,96,14.644901275634766,14.814230121673472,1.557142972946167,2.0878190579608473
15,215.5357,48.4549,0.07199999690055847,90,14.934901237487793,15.09886479125586,1.9285714626312256,2.53216841820291
16,230.7995,8.6412,0.03400000184774399,115,14.804901123046875,14.977835214513897,1.7571429014205933,2.3923440677082572
17,216.7229,16.7528,0.05299999937415123,107,14.704901695251465,14.872833998051169,1.6285713911056519,2.167281896485401
18,168.0412,40.5435,0.07500000298023224,41,14.544901847839355,14.706539407601026,1.4142857789993286,1.8685459346615523
20,241.1981,17.5749,0.03400000184774399,257,15.074901580810547,15.247361760316434,2.1571428775787354,2.942156852274151
21,230.6338,27.7129,0.0729999989271164,144,15.42490291595459,15.581670053029487,2.8000001907348633,3.664567601605863
22,18.7854,0.3047,0.04500000178813934,82,14.53490161895752,14.703112387593208,1.4285714626312256,1.9171390478328318
23,227.7485,6.0388,0.07900000363588333,132,15.364901542663574,15.521697857073933,2.671428680419922,3.4802487094033068
24,229.2044,7.0289,0.03500000014901161,87,14.604901313781738,14.776169756256758,1.5,2.0473024702259774
25,230.2953,30.6325,0.07800000160932541,88,14.854901313781738,15.017570720153877,1.8000000715255737,2.3657594675055433
26,258.2267,64.0514,0.08100000023841858,150,15.294901847839355,15.452727487036949,2.528571367263794,3.2947002574800357
27,169.1316,29.2563,0.04699999839067459,76,14.444901466369629,14.611528731652571,1.3285714387893677,1.783591269077516
