Yang,RA,DEC,redshift,N200,logM200c,logM200m,R200c,R200m,thetaR200,thetaR200m,vcirc_c,vcirc_m,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,ff_quenching,ff_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,qf4_quenching,qf4_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,ff_sf,ff_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,qf4_sf,qf4_sf_err,fo_bt,fo_bt_err,fi_bt,fi_bt_err,fn_bt,fn_bt_err,ff_bt,ff_bt_err,qf1_bt,qf1_bt_err,qf2_bt,qf2_bt_err,qf3_bt,qf3_bt_err,qf4_bt,qf4_bt_err,fo_elliptical,fo_elliptical_err,fi_elliptical,fi_elliptical_err,fn_elliptical,fn_elliptical_err,ff_elliptical,ff_elliptical_err,qf1_elliptical,qf1_elliptical_err,qf2_elliptical,qf2_elliptical_err,qf3_elliptical,qf3_elliptical_err,qf4_elliptical,qf4_elliptical_err,fo_spiral,fo_spiral_err,fi_spiral,fi_spiral_err,fn_spiral,fn_spiral_err,ff_spiral,ff_spiral_err,qf1_spiral,qf1_spiral_err,qf2_spiral,qf2_spiral_err,qf3_spiral,qf3_spiral_err,qf4_spiral,qf4_spiral_err,fo_bulge,fo_bulge_err,fi_bulge,fi_bulge_err,fn_bulge,fn_bulge_err,ff_bulge,ff_bulge_err,qf1_bulge,qf1_bulge_err,qf2_bulge,qf2_bulge_err,qf3_bulge,qf3_bulge_err,qf4_bulge,qf4_bulge_err
2,240.5602,16.1113,0.035999998450279236,525,15.444902420043945,15.61043080796355,2.8714284896850586,3.880159897239745,0.7795811316295294,1.0534475724189225,2041.7840576171875,1887.7175813096123,0.6410484703871221,0.06120900489152008,0.5018281902925105,0.038911471578947525,0.4554397568226609,0.033273114097675235,0.429631094847196,0.04499892739673186,0.27946238101340437,0.14722019566451053,0.3408414695892823,0.12961854757602898,0.0851851269919881,0.09416052867951619,0.12657964835227573,0.10477711618605175,0.358951529612878,0.04168013024088096,0.49817180970748953,0.0387222323854497,0.544560243177339,0.03748057584389296,0.5703689051528039,0.05434018098065102,-0.27742618447453393,0.11537188960278767,-0.4075373543569083,0.12756399256287534,-0.10185415913945377,0.11862319970005382,-0.16804439043452435,0.15675599388681602,0.4703158944406854,0.049626007207766644,0.43169398907103823,0.03523733894074029,0.44936032334569265,0.032981196619994144,0.42168595259288566,0.044456853241083165,0.06795969887159067,0.10717986631892855,0.03805677647916514,0.10823646082452594,-0.0320832933471036,0.08767214316090749,0.017305539305199062,0.09810129442225478,0.544178923750846,0.05470523013153908,0.4106396657023465,0.0341136741555332,0.3934094932691986,0.030258170312382315,0.33095968087561395,0.03810766247381489,0.2265833824864368,0.1101735145551447,0.2485522420952712,0.10380397098542231,0.02840494904216242,0.07518653336919569,0.11909593868873944,0.07674753394980069,0.45582107624915424,0.04861389095609765,0.5893603342976536,0.043380208908907626,0.6065905067308014,0.04034421464985641,0.6690403191243859,0.060673895052024515,-0.3251981462143886,0.16234323234985248,-0.38323790620497317,0.1653204102782525,-0.04379704284705132,0.1506505664690014,-0.24075435598657946,0.2296460214018175,0.417075977565209,0.04587893586886695,0.33535491644422616,0.02999443569796779,0.3310923227748889,0.027130606796931144,0.30035326160474857,0.035883034884933725,0.1229544355970929,0.08265710194644368,0.12854338157249692,0.07985332386837128,0.006372469347369623,0.06046365453697345,0.05002761096229696,0.06689457850705027
4,247.1149,40.8317,0.029999999329447746,217,14.814902305603027,14.988838641010085,1.7714285850524902,2.4220034873237517,0.5730670271152717,0.7835316364742502,1257.8946533203125,1168.0954840010763,0.5173206621704476,0.07756157538642726,0.48047122074636306,0.053028305138084264,0.4615037050424724,0.055204848679929176,0.4104298300258076,0.0717744720779085,0.07092858547128612,0.18099405780930442,0.10365337264275439,0.17711089907436878,0.03522311273355496,0.14219701098698465,0.11880077094745388,0.1520519938626751,0.48267933782955247,0.07405953739596148,0.5195287792536368,0.05586416893885992,0.5384962949575276,0.061182786821711854,0.5895701699741924,0.09132347101164293,-0.07669437800424862,0.1932797780560768,-0.12094584836071526,0.20876936710687766,-0.04109937904430297,0.17960473192249735,-0.17065375271614988,0.2635858011616456,0.4102544451256898,0.0665891404507857,0.36369386464263126,0.04427927510258233,0.4057021507319718,0.050762146352795974,0.3950342618136513,0.07003008033772505,0.07317323831383259,0.12577735789080388,0.007659954346671262,0.14089244093899594,-0.07068557650188435,0.1135055317630776,-0.05180524316133456,0.13708855433389677,0.47823421213979156,0.07360714423813347,0.4662397216951296,0.051985377016056336,0.4294686426893186,0.05266750117882962,0.4022425914389961,0.07084845918559612,0.022471680513121647,0.1688423491772617,0.0854739513010111,0.15883592031771712,0.06445058371399454,0.12984411953590005,0.10706204446749625,0.14755413796617567,0.5217657878602084,0.07800810552155886,0.5337602783048703,0.05688869101506545,0.5705313573106814,0.06362865355348095,0.5977574085610038,0.09219188832608778,-0.025726015795164123,0.20710260598526198,-0.1135486147372822,0.23500216687026468,-0.08561993903804435,0.19914255394980224,-0.1591008302407461,0.27177571862401995,0.31474755522331704,0.05631581716009231,0.32867263394593377,0.041549407895331125,0.33657997820060637,0.045084917713586935,0.29050490583339145,0.05776055656416653,-0.020742605510729695,0.10425579151001751,-0.032908899731535476,0.10876194252035001,-0.011919061823346113,0.0924196774316092,0.05379561948539635,0.10038126243393768
5,247.1633,39.4674,0.029999999329447746,277,14.9649019241333,15.138926939889993,2.0,2.7177167877362454,0.6470111436516279,0.8791965384498562,1411.3817138671875,1310.7135159645927,0.6232216059802268,0.07809318627466752,0.45239001765255615,0.04768884957150814,0.4043147873176697,0.04979586372228059,0.357442539219263,0.06652414901519146,0.3119584993600109,0.1692889969912224,0.36748741449671796,0.15848790012135489,0.08070576423814008,0.11594248662372901,0.14776496146808035,0.1282994592618229,0.37677839401977337,0.05592139543735587,0.547609982347444,0.0541608100254653,0.5956852126823303,0.06442927478867179,0.6425574607807369,0.09811417463874339,-0.3776201544280591,0.17792511336888128,-0.5414266940737987,0.22796459134380387,-0.11890544655522013,0.20903896833870375,-0.2656300468340455,0.32190047753006595,0.44936098384374246,0.06265979189343875,0.3617389498459728,0.04129174890704591,0.36090488252249103,0.046313914241291415,0.3080080262677855,0.060618013841061205,0.1372824394918418,0.11790709720855977,0.1384083509672007,0.12233127867752532,0.0013050754115816621,0.0970877302415739,0.07764674391870909,0.10620975693240235,0.5777067759826381,0.07412587976619281,0.4142812640614725,0.04503334965648352,0.38064459778146564,0.04790733435454503,0.35178766873403866,0.06585822599916684,0.279017046738825,0.1496257944085715,0.3181730190699793,0.14461194552060674,0.0543091513523901,0.10624248838147075,0.09640914298156526,0.12347055044286485,0.42229322401736197,0.06017340828116538,0.5857187359385276,0.0566991239589358,0.6193554022185342,0.0661823639267386,0.6482123312659613,0.09871444490900513,-0.3944796110714678,0.20674323631424205,-0.5177064888079901,0.2516407693710168,-0.08836764392836062,0.22946527281579232,-0.17764578148042084,0.3274185719599449,0.42522853494061974,0.06044445117642606,0.3023412570981462,0.036917290368392905,0.27309472165256615,0.038966215983794406,0.24429817401942172,0.05265478235911619,0.1761423892307779,0.10194749402779076,0.2092897352924974,0.09956844654314581,0.040234314314060146,0.07387508403148983,0.07680685831797393,0.08526407537541657
6,167.6936,28.5374,0.032999999821186066,167,14.754902839660645,14.927840689026137,1.6857142448425293,2.3045122256737995,0.4975147606695648,0.6801442623443363,1201.785400390625,1116.2906247336416,0.5756279477898433,0.09974055779244043,0.43497899992075456,0.07033061976340457,0.33736396614268443,0.05505352667011523,0.32198183760683763,0.07539551398146747,0.24892693873212213,0.2182089617172296,0.35956991390912474,0.1745041830316033,0.14731319878551824,0.1353429462475852,0.16665801682225923,0.1531949854871928,0.4243720522101569,0.08142525499207806,0.5650210000792457,0.08371049436640654,0.6626360338573156,0.08602944269914302,0.6780181623931625,0.12326394723068154,-0.3233465245327077,0.2755894822256519,-0.706252017283872,0.3946086480915717,-0.28934635460381297,0.3633740458861152,-0.35094265923127704,0.48187178394641556,0.42952725677306136,0.08206644151933934,0.3860844757904747,0.0651213725450025,0.38082762327018677,0.059435366339342245,0.36124465811965817,0.08103747237532907,0.07076345078343368,0.17081543333806856,0.07865278771007826,0.16382557459529573,0.008490127657264462,0.14239666474944837,0.03888784334498733,0.162830161395328,0.44839311176922236,0.08440082848814018,0.38798636975988593,0.06532634515598496,0.32083837162434503,0.05335547359632033,0.3290598290598291,0.07642347379713708,0.0987016285660775,0.17470748647034448,0.1878120535901725,0.14776010175455273,0.0988689515574344,0.12443478991276678,0.08782681862301463,0.15018141088670323,0.5516068882307779,0.09689016798109104,0.6120136302401142,0.08842039068070841,0.679161628375655,0.08752735646586057,0.670940170940171,0.12235998804379498,-0.15569294881858986,0.33993865435881426,-0.3975669727379901,0.42117233174101526,-0.20928917509331224,0.39196308338255986,-0.17907546134822447,0.4635810656287057,0.34040226921910977,0.07074370764547619,0.2758664141549688,0.05281284241249412,0.2716311768605352,0.048170524963689336,0.29911786495185627,0.07203814608706947,0.08912147748102378,0.12208834250260239,0.09441795169396838,0.11767032238998161,0.005814687778890149,0.09813982043612104,-0.033174551945585405,0.12749002618029984
7,351.1194,14.6251,0.041999999433755875,106,14.664902687072754,14.835094504183962,1.571428656578064,2.127630582418425,0.36826592735879554,0.4986124388818472,1122.9947509765625,1044.1083602597816,0.6680034873583262,0.13938663252373082,0.5015309893358674,0.08916986605937725,0.4322121795821603,0.09577065586011155,0.31272401433691754,0.13561889767840027,0.33396759770614426,0.3372870598199063,0.41528067228114385,0.30597863428584676,0.12208576383814432,0.2313844776434089,0.27471784106757235,0.2423026086908794,0.33199651264167396,0.08781153807738096,0.4984690106641326,0.08880655899802842,0.5677878204178395,0.11484628738649748,0.6872759856630825,0.2279352742661521,-0.33192863763593794,0.2558594333842817,-0.5455452643748168,0.36454968728892323,-0.16038143538833313,0.33858486001202115,-0.6037495246384759,0.8975208950762639,0.5401918047079337,0.12044663815424837,0.46045824094604576,0.0842639424216545,0.4030226700251889,0.0915329293611948,0.3490143369175628,0.1452388488293827,0.14778015310936218,0.2734217280992983,0.2297727699116021,0.25584737405312086,0.09621063989696278,0.20892697388333983,0.1711925628297137,0.2607488463997551,0.6315605928509155,0.13404246297891223,0.4607749973603632,0.08430206126200139,0.40183730923099714,0.09135960537684698,0.31720430107526876,0.13681981001125862,0.31672417757803417,0.2978046917471561,0.3840481647636435,0.2774611827234968,0.09853120068989138,0.2083668260915294,0.21026889377187058,0.23910664488085692,0.36843940714908463,0.09376248388471381,0.5392250026396367,0.09361342682884366,0.5981626907690027,0.11901465332474115,0.6827956989247312,0.22688928028109034,-0.3706485735313974,0.2972444086079363,-0.5716823160585646,0.4133208625470728,-0.14667052256087443,0.3793143882130803,-0.45261270354284056,0.838766263763109,0.4523423240434525,0.107028981169174,0.37730274692583676,0.07407331260580184,0.3595257780956141,0.08510185354933213,0.3067339425543907,0.1340069685121633,0.12050731996513,0.20951977020620202,0.14491847255281826,0.21436295027262406,0.027755947424963703,0.176195063689713,0.10179180649844899,0.221737541848086
8,239.5372,27.3133,0.09000000357627869,183,15.254901885986328,15.411329095121902,2.442857265472412,3.1653055595608754,0.28232277514615234,0.3658166554840595,1778.5684814453125,1661.893369756073,0.8830905402913516,0.12382359674605926,0.702279049860903,0.07997280813776805,0.5693877551020409,0.060392936651372006,0.49546292357861904,0.07247554056229923,0.6073186665096038,0.521291769676201,0.7285040983069302,0.3358501045831258,0.3086101157907224,0.23671633832565941,0.40991264259349397,0.22187023292503827,0.11690945970864834,0.03469756481875834,0.2977209501390969,0.04546398153348963,0.43061224489795924,0.050144246847471666,0.504537076421381,0.07335775773342254,-0.25746388200852777,0.08312550759080882,-0.5509475438808686,0.11757334493311591,-0.2333933133757798,0.12063925874930174,-0.41741998531090285,0.18482713762560574,0.7886778535865757,0.11404626991465071,0.6940937299379414,0.0793140068580232,0.6459183673469389,0.06587337571365547,0.6022260031192399,0.08270651051405718,0.30919315131869063,0.4611301458904503,0.40318241070560273,0.37944605131981346,0.13605721999764406,0.29227942321351713,0.23095458109153494,0.29205540116963186,0.8073944311266825,0.11599373752348881,0.6098330836721592,0.07247162960461509,0.5263673469387756,0.05726522346920621,0.47384091875797535,0.0703622378018364,0.5063508441820855,0.36294626465345764,0.5933439816101104,0.28238626966866803,0.17622462512649922,0.19617620615410258,0.2584620692912256,0.1950624303637289,0.1926055688733173,0.04602014972824056,0.3901669163278408,0.05386799440790091,0.4736326530612245,0.05337432456619071,0.5261590812420247,0.07544952251524836,-0.3239597075725899,0.11965045184622305,-0.5338991596311822,0.14441989394408813,-0.15856936646773423,0.1449622830304397,-0.2869996227228424,0.2009140407419915,0.7053002387335423,0.10530588426739317,0.5739042086115023,0.0695153902599679,0.4936408131465225,0.0548587075846124,0.4624746565437261,0.0692446462902816,0.30837204398068835,0.3003766923413056,0.4180025386766935,0.23882727303659787,0.15851079144774197,0.17572552939880193,0.20730102017383414,0.1844802401504702
9,241.5673,18.1483,0.03799999877810478,143,14.634902000427246,14.805763776646277,1.54285728931427,2.0882845757704884,0.39776457242354135,0.5383813998714762,1096.8115234375,1018.9044815412407,0.5989048596851472,0.10451761552292856,0.6099967907573812,0.08876618551371229,0.5448015873015873,0.05779034190749453,0.5592912312585188,0.0752356331397135,-0.02844061487025822,0.35166020739431986,0.11885646099430806,0.262803868583043,0.14322370561293749,0.23340027232362068,0.11505457366700644,0.2647606262962323,0.4010951403148528,0.0800675934112632,0.3900032092426187,0.06594976737321756,0.4551984126984127,0.05126975046576394,0.4407087687414812,0.06419554668885694,0.01818358922587477,0.17006363840523073,-0.09930821356731803,0.17476459359031435,-0.11966779278068387,0.1537425541875603,-0.09066038704873786,0.1648851679779455,0.48083504449007536,0.09012611707968653,0.42458279845956354,0.06966206145373742,0.43567460317460316,0.04982058916133802,0.4469397027325242,0.06478741330978599,0.09775906225938363,0.19831441857305088,0.08002553415019334,0.18261945777645872,-0.019654980579354366,0.15177341569121333,-0.04042399062709834,0.17207643361717717,0.4684006388318504,0.08857890028844649,0.4135109114249037,0.06848009370680763,0.42424603174603176,0.04896673322128317,0.409554098786266,0.06121212671254989,0.0935903642134314,0.1912165616255846,0.07669006124216898,0.1759121244198132,-0.018645325804151007,0.14622711433909127,0.006701397419313126,0.1555621826441644,0.5315993611681497,0.09637493017137612,0.5864890885750962,0.08640120319805733,0.5757539682539683,0.060001540817863123,0.5904459012137341,0.07807112964032228,-0.13274069895230528,0.31423995106823466,-0.10407783168671124,0.2680009246722371,0.025303997015473093,0.24797624321369502,-0.009661269781853261,0.28433609136837934,0.41515410600683333,0.08186641988400113,0.3143136116446165,0.057570814328961224,0.3342331251155793,0.04206688281152262,0.3238597805386772,0.05275218560757262,0.14706503742050708,0.14648095935416952,0.12154551982674444,0.13846277302837232,-0.02991965239246975,0.10711471782679059,-0.014118623059675492,0.11549093864978084
10,223.2712,16.724,0.04500000178813934,106,14.37490177154541,14.540970333947133,1.2714285850524902,1.6928023827999323,0.27907195269288665,0.3715613166955407,899.2819213867188,834.3119339941352,0.7390211196781763,0.14677065223070646,0.5833115696004179,0.10981857467453497,0.467966573816156,0.10310554378603805,0.36061285500747375,0.13540815286222793,0.3736834015968267,0.450804875469772,0.5094690155207607,0.35129407805560775,0.2168002800342933,0.2862309158634221,0.34830026899515976,0.28247290337834136,0.2609788803218237,0.07427026129559577,0.4166884303995821,0.08779811827729375,0.5320334261838439,0.1123104319762499,0.6393871449925261,0.1979154268888449,-0.2669406166320738,0.20119972400316105,-0.5792177497884834,0.3195476037617259,-0.24648127075327358,0.31031844428673444,-0.6175562282390863,0.6894697988073842,0.6806905799530675,0.13847683346684786,0.5066597022721336,0.09984080693685593,0.471835345094398,0.10366719951485752,0.43983557548579966,0.1538362047455587,0.35276031267352864,0.353328904866193,0.3954358416808444,0.33658615279083504,0.06593466044023663,0.27281178232003206,0.11929377136773163,0.32903020084403173,0.6009051290647001,0.1269825733136588,0.47427526769391487,0.0955535535923877,0.3686165273909006,0.08835778240147894,0.2294469357249626,0.10267221718502584,0.24086723258258144,0.3054381617629933,0.3679041529451205,0.25036632975511275,0.16734479897992108,0.20745193311079319,0.31773065778317955,0.1868799657624608,0.3990948709353001,0.09674310528175677,0.5257247323060851,0.10234334606175469,0.6313834726090993,0.1262528389076168,0.7705530642750372,0.22579414987084656,-0.2669965524167046,0.30247735176000834,-0.6301632846415157,0.48246571630428686,-0.2866359277237943,0.45169954456695355,-1.0670368344444878,1.0,0.5143710803185535,0.11426488708942581,0.38238310909052364,0.0830817952314822,0.29094342305403587,0.0762385082935032,0.21499701386113598,0.09880086166924015,0.21370524862697649,0.2305439124858943,0.31510554239107585,0.19666768043156166,0.12895964724047151,0.15963204113280696,0.2132298834335615,0.16662057972592398
11,10.4693,-9.3997,0.0560000017285347,156,15.11490249633789,15.281540679227374,2.2142856121063232,2.957436412692569,0.3955778673545872,0.5283403209497024,1589.443603515625,1480.6726552656237,0.8372756071805701,0.1274519198989682,0.6462172122263169,0.10738066805366885,0.45760500913122887,0.09327835925586474,0.18476676384839652,0.08931743991129797,0.5400443479926288,0.49877538460795146,0.6999891305065539,0.31509114766993923,0.34773957405650435,0.2689718247895895,0.5660348816937923,0.18220581432196756,0.16272439281942977,0.04469816761285964,0.35378278777368305,0.07205035306201321,0.5423949908687712,0.10446510046448229,0.8152332361516036,0.23222827351752784,-0.2956566172170313,0.13528583340041225,-0.8296906512674606,0.31229950980747756,-0.4121725053953665,0.29284666547991856,-2.497475405027642,1.0,0.5909186906019006,0.09963521508525909,0.5364188163884673,0.09451485700302277,0.5288285937907645,0.10269574531740917,0.4828717201166181,0.16153833784643934,0.11756274011997553,0.2972108151540028,0.13177815120547323,0.3050365782127874,0.016109259810074685,0.296237610945404,0.10354702760391424,0.36335828498270434,0.7450897571277719,0.11717587062006699,0.58649468892261,0.10042564380561199,0.44547351943647284,0.09164981735192237,0.23979591836734696,0.10408877866775054,0.3835381649438594,0.38465474340314326,0.5403100630772757,0.28273960070890436,0.2543091708493832,0.24875793568693924,0.456060127710279,0.20024575772087172,0.2549102428722281,0.05811991604840789,0.41350531107739,0.07959440461751154,0.5545264805635274,0.10604148366655106,0.7602040816326531,0.2208282076594604,-0.2704117721790472,0.17200218207612478,-0.6725792322522697,0.315148573074879,-0.31656465161954006,0.3070290791303817,-1.4458076389113097,1.0,0.5239864514379703,0.09182809793249876,0.4110045719293756,0.07928313361908311,0.317313727065132,0.07384219942557495,0.14622769302784985,0.0781552507645775,0.19182131833975358,0.2075876291459618,0.3027345540204761,0.17568339097170405,0.13723850702529394,0.15939562078227906,0.3101258693205222,0.13345074462519796
12,14.206,-0.746,0.04399999976158142,95,14.694901466369629,14.864857661069076,1.6142857074737549,2.1726236197261137,0.36195781990951564,0.4871492730432725,1149.4781494140625,1069.2592787651186,0.8996392259757298,0.16740793611641505,0.7383570105003089,0.12591986757309925,0.5959362139917697,0.11059347989209185,0.31979877829680203,0.12315034635659011,0.6164209321404779,0.8538222106720972,0.751621458048146,0.5374828643404699,0.3524710737270533,0.4258354059794563,0.6153447227799047,0.28188789793548324,0.10036077402427027,0.04255551087449529,0.2616429894996911,0.0638578592825996,0.4040637860082305,0.08541620100835279,0.680201221703198,0.20264819450195062,-0.21843391906868523,0.10563443622525841,-0.5096233537305298,0.17600761495942144,-0.2389866451554602,0.1822072084273865,-1.3088174833959096,1.0,0.5109872089209577,0.11252310108075692,0.44373069796170467,0.08895992362288858,0.37178497942386834,0.08098616039362022,0.23463887890765361,0.10202658029312225,0.12090638601269228,0.25858640511004033,0.2215837331769431,0.2225250074638608,0.11452403425797651,0.19206676667287656,0.27319367719597376,0.1805728765946951,0.8425713348638899,0.15955917468326808,0.6730080296479308,0.11793717089017221,0.5928497942386833,0.11020000612589807,0.40711462450592895,0.14347177492937635,0.5185549511610082,0.6349568802919264,0.6133400820914742,0.5043770674647662,0.19687632297609248,0.40000390402004576,0.4484735433395099,0.33152069903538245,0.15742866513611023,0.05466323041334809,0.3269919703520692,0.07321402078454341,0.40715020576131694,0.08583599127049171,0.5928853754940712,0.18421331463675242,-0.251948413311892,0.13850173476114683,-0.4212222776359236,0.18216425418917717,-0.13520833807859237,0.1913036004216973,-0.6531168106886068,0.5695782004026099,0.47202893900485404,0.10674530199668776,0.36960906068539345,0.07907900244290796,0.3139255177690509,0.07283171721341919,0.20746158987502697,0.09487436397476462,0.16247041626394051,0.2117190928739077,0.23044643887889382,0.1899357506271035,0.08116253316297825,0.1569367271867746,0.2045925708317379,0.15775338339130487
