Yang,M200c,R200c,M200m,R200m,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,ff_quenching,ff_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,qf4_quenching,qf4_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,ff_sf,ff_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,qf4_sf,qf4_sf_err,fo_bt,fo_bt_err,fi_bt,fi_bt_err,fn_bt,fn_bt_err,ff_bt,ff_bt_err,qf1_bt,qf1_bt_err,qf2_bt,qf2_bt_err,qf3_bt,qf3_bt_err,qf4_bt,qf4_bt_err
0,15.138044357299805,2269.838134765625,15.26395034790039,3474.42578125,0.9247389718739072,0.06667776089617584,0.692593896893326,0.04236649618678688,0.47834853136599,0.032865692328368064,0.34198883227046656,0.037421596565115546,0.7551739299724436,0.27726134028914673,0.8557254553060679,0.15236186888486253,0.41070595677293154,0.10599532338266068,0.5328254014785518,0.09109347850269309,0.07526102812609284,0.01421764044477198,0.30740610310667427,0.024806661991918035,0.5216514686340099,0.03482009548601888,0.6580111677295334,0.057696870582648684,-0.33518209736164734,0.04299289326739587,-0.9331907829489676,0.10390622265982881,-0.4478854882558717,0.0951367660185199,-1.0251944845543326,0.25226935398487244,0.9250387170904733,0.06669375909747279,0.8708180857742189,0.049944346261589154,0.8566497120774715,0.04928885958783144,0.8501205260427791,0.06927589768643241,0.4197230830740656,0.6650945105264849,0.47707616080939813,0.6013219037187619,0.09883742754953155,0.49067851403687085,0.13809469158763793,0.5733717233463979
1,15.05978012084961,2137.57958984375,15.192752838134766,3289.575439453125,0.8238374030177542,0.05979930309827223,0.4760218314129776,0.04128378359793345,0.2952052949551699,0.02712303627766748,0.23856770336449792,0.03065370636787406,0.6637978306285318,0.1482149330427876,0.7500511911890136,0.09753496986709889,0.2565520642586361,0.07077829544114939,0.31185192576898146,0.06868751032363027,0.17616259698224573,0.022206128225401463,0.5239781685870224,0.04401144585267305,0.7047947050448302,0.04808108823996288,0.7614322966355022,0.06530792999468922,-0.7306714706179636,0.12364534636392033,-1.7907270536690851,0.34242195099320516,-0.6125111559576424,0.2422958163912082,-0.9953322461493596,0.42803488980119014,0.8974487124565663,0.06366080901564194,0.8647180109157065,0.06254081011018033,0.8659329664832415,0.055756702876408576,0.8508554347134771,0.07076710541877122,0.24194426591750848,0.6690857427400085,0.235074538062225,0.6387453768637108,-0.009062299177247438,0.6249704601473611,0.09294724333801842,0.6347600711572938
2,14.993892669677734,2032.17626953125,15.104423522949219,3073.919677734375,0.8484783769353975,0.07471590440481056,0.4620351239669422,0.04669858593325638,0.374317906695223,0.030952588932211866,0.32640796148502377,0.03740206832883711,0.7183429071021888,0.175251234226132,0.7578296954859558,0.13458366981168274,0.14019454641638768,0.08981075229409223,0.2013491174582862,0.08952371270311137,0.1515216230646022,0.02492061942239848,0.5379648760330579,0.05168178444181793,0.6256820933047769,0.04352389461384369,0.6735920385149763,0.06035315275520308,-0.8363936699239019,0.1554795826627484,-1.2667319990818533,0.19911430577249728,-0.23433882190183342,0.182552675966477,-0.4155142597161843,0.25526656741875164,0.8857803879693895,0.07710704654506961,0.8342910640495869,0.07028784894155024,0.8370611788807152,0.05351474821200643,0.8322078257778927,0.07019076137433955,0.3107214684862279,0.6432768573979042,0.29900307829653316,0.5843431276479434,-0.01700095049233459,0.542204269973629,0.012415586610950144,0.5920253716612655
3,14.826947212219238,1787.660400390625,15.00108814239502,2839.5458984375,0.8406466512702079,0.07717424365504971,0.5218146589162824,0.05150585974086591,0.3656025004185968,0.037326655992073056,0.3374294254400531,0.04997996036071226,0.6667540072043037,0.20689611199034127,0.7488115119701152,0.14213269203357218,0.24623703372216887,0.10130845460795294,0.2782876882190108,0.110335043700641,0.15935334872979215,0.02666667878182465,0.4781853410837175,0.048593725538496925,0.634397499581403,0.05379128639886835,0.6625705745599467,0.07808634812903108,-0.6110062009681435,0.12050449121258318,-1.2993460118782245,0.2520213827549698,-0.42727322247202965,0.20800371773860646,-0.546440883855242,0.30047163058116594,0.9080446497305619,0.0816635573541722,0.872987238591568,0.07390757943642495,0.8075291622481442,0.06382254504491941,0.7641425882873905,0.08638195730696338,0.27601487244467154,0.8819210124959264,0.5222374914375749,0.565656084479551,0.34009347653911104,0.5197353808315358,0.4614849688794344,0.5107797811476665
4,14.61711311340332,1521.7880859375,14.750040054321289,2341.92822265625,0.9109623856319893,0.12143998069109566,0.6544976286317803,0.06569436616802382,0.5353647919205989,0.053502771619974424,0.43984173610694804,0.06161614932601505,0.7422952148912496,0.42381429364425094,0.8083709266543676,0.30039390372350155,0.2564007949454034,0.18472173989122656,0.3832057944356514,0.1662241233969192,0.08903761436801086,0.02866114776254652,0.34550237136821965,0.04304361742683593,0.464635208079401,0.04868177234698877,0.5601582638930519,0.07238167991435418,-0.39184978796079883,0.08310788271044166,-0.7015732064933693,0.12330674775142259,-0.22252646888451,0.1230541125935229,-0.4880298409713406,0.20762427652666157,0.9528973229413759,0.12555908904900823,0.8963373321111153,0.08230657952798413,0.9087236635904579,0.07772004376517481,0.9127150650440621,0.10230143040540277,0.5456158131188251,1.0,0.48395521871866043,1.0,-0.13570145304438025,1.0,-0.1876352768231351,1.0
5,14.865218162536621,1841.031494140625,15.012251853942871,2864.049072265625,0.8089939199265802,0.0748078255323706,0.4870508597503854,0.04678375982882379,0.36662044766405383,0.03765348423915614,0.2818964043535245,0.04537796775720944,0.6276315426116686,0.18128476175082806,0.6984334600493864,0.13859236708437206,0.19013940636728194,0.09548687856183966,0.28568921899377187,0.09253898744246375,0.19100608007341977,0.029494187110104104,0.5129491402496148,0.04842775880024757,0.633379552335946,0.05410637619867906,0.7181035956464756,0.08384787016896227,-0.6610050136061594,0.13369075171456934,-1.2066252034798866,0.24487380353890567,-0.32848798492735853,0.20390895416992763,-0.7277654210146577,0.40600864201240505,0.9167144659860044,0.08196937079684138,0.8780937415007101,0.07059502999920456,0.8881405812275389,0.06888598802586697,0.8915037893897089,0.09802548873786275,0.31680674118564023,0.9061586695022639,0.2554446024486238,0.9700352930952717,-0.08981666306764596,0.8835128709268185,-0.12359922815338238,1.0
6,14.616884231567383,1521.52392578125,14.728866577148438,2304.208984375,0.8623403991570596,0.09976951721874122,0.5611676412357843,0.06351132400132993,0.44310044904729157,0.05086088649726867,0.35198761811665036,0.06226179057730074,0.6863048084453025,0.2872301927605865,0.7528107167487548,0.21251650764124821,0.21200805780236473,0.14738375486006758,0.3228025095927704,0.14071029006425917,0.13765960084294038,0.031155762605346658,0.4388323587642156,0.053918090800286485,0.5568995509527085,0.05922475604205635,0.6480123818833496,0.0932703153312175,-0.5366894592461582,0.12236516331255798,-0.9461510386892503,0.19698133250958078,-0.2664569454676669,0.18422888533258053,-0.5942823336751885,0.34420644942400624,0.8990330978058757,0.10286865927382467,0.8718173028224134,0.08668112856742327,0.8606335207734941,0.08048669591697068,0.8536982730531119,0.11353853398636786,0.2123203488670318,1.0,0.27552950498213097,0.950612020602468,0.0802472883794593,0.8500095141288748,0.12384699857903468,0.9810899376182964
7,14.76594066619873,1705.9473876953125,14.914375305175781,2656.730224609375,0.9021712612832397,0.10230582125117721,0.5021691086191373,0.055563183877252585,0.30344234949198806,0.03161716567845319,0.24923251310631464,0.038347122913336716,0.8034900195819367,0.250460782938245,0.859553995788558,0.15860118825646435,0.2852983654435699,0.09268753139251341,0.33690403477560354,0.09155469728318764,0.09782873871676018,0.02559361057773152,0.49783089138086273,0.055242716494183386,0.696557650508012,0.05465146021760401,0.7507674868936852,0.07879084619622338,-0.7965487040093464,0.14959217472496583,-1.9731224491031711,0.4072332269571698,-0.6549077920726961,0.2819466802816012,-1.014861955048889,0.5019992980800847,0.9244327884849962,0.10416458505978973,0.8664565769010396,0.08135515200099154,0.8715816610220897,0.06420921470716041,0.8652056864875076,0.08730353883365252,0.43413752799337924,1.0,0.41155436118822286,0.9748252872791738,-0.03990928524571279,0.8073053001931626,0.009279993947341567,0.885323726293213
8,14.768656730651855,1709.50390625,14.904153823852539,2636.046142578125,0.8548154053111455,0.08887958347648271,0.44915458355412113,0.055995362305329754,0.3381176578141427,0.045476516563423545,0.28930553220110977,0.05600055355157572,0.736433143756368,0.2048702548994714,0.7806489379828682,0.16009249105327447,0.16775931107828093,0.10959387138695545,0.22491950985362794,0.11283115691592159,0.14518459468885458,0.0287815053334182,0.5508454164458789,0.06414988902103917,0.6618823421858572,0.0709082307844939,0.7106944677988902,0.10110292574876893,-0.9031652722923712,0.20283990692765969,-1.5281596082184563,0.3923416070354933,-0.3283972995016227,0.29106603161636196,-0.5525267703553376,0.4567045045835213,0.9439988042449305,0.09562010411461176,0.8755238691651814,0.08893896630830452,0.8408831192576679,0.08411763236082717,0.8305868505128636,0.11306383853191589,0.55010494478348,1.0,0.6480499398064766,0.8706184188217712,0.21770631592262962,0.7779134172159459,0.26525106692340844,0.867379736022308
9,14.709993362426758,1634.241455078125,14.86382007598877,2555.649169921875,0.8519725804132111,0.08696860870416302,0.6494771863117871,0.05318583548226756,0.5535275163232426,0.04269597512692897,0.5595123409626948,0.053838673690390255,0.5776953344940965,0.303752300993037,0.6684511924054886,0.2262180456997517,0.21490612186978872,0.1541364162260879,0.2042391960440216,0.1736117499240148,0.14802741958678872,0.0285416875109895,0.3505228136882129,0.03535493029872936,0.4464724836767573,0.03700072992119255,0.4404876590373052,0.04591100007294772,-0.3117821508886912,0.07198992851259162,-0.5391693371855538,0.09179334994548534,-0.1733421865382258,0.09317830583094949,-0.16079152998537818,0.10440302184300335,0.8847610373424092,0.08940742345439115,0.880993874102239,0.06614865437120812,0.8731450860680063,0.05888257180231776,0.8759259874431119,0.07388166353113439,0.031655204400205667,0.9347183371105067,0.09156879236566354,0.8449891562460896,0.06187216396236973,0.6987076592416677,0.040845673922276185,0.7996288646969625
