Yang,RA,DEC,z,logM200,R200,N200
2,240.5602,16.1113,0.036,15.29,2.01,525
4,247.1149,40.8317,0.03,14.66,1.24,217
5,247.1633,39.4674,0.03,14.81,1.4,277
6,167.6936,28.5374,0.033,14.6,1.18,167
7,351.1194,14.6251,0.042,14.51,1.1,106
8,239.5372,27.3133,0.09,15.1,1.71,183
9,241.5673,18.1483,0.038,14.48,1.08,143
10,223.2712,16.724,0.045,14.22,0.89,106
11,10.4693,-9.3997,0.056,14.96,1.55,156
12,14.206,-0.746,0.044,14.54,1.13,95
14,228.1091,7.4642,0.045,14.49,1.09,96
15,215.5357,48.4549,0.072,14.78,1.35,90
16,230.7995,8.6412,0.034,14.65,1.23,115
17,216.7229,16.7528,0.053,14.55,1.14,107
18,168.0412,40.5435,0.075,14.39,0.99,41
20,241.1981,17.5749,0.034,14.92,1.51,257
21,230.6338,27.7129,0.073,15.27,1.96,144
22,18.7854,0.3047,0.045,14.38,1.0,82
23,227.7485,6.0388,0.079,15.21,1.87,132
24,229.2044,7.0289,0.035,14.45,1.05,87
25,230.2953,30.6325,0.078,14.7,1.26,88
26,258.2267,64.0514,0.081,15.14,1.77,150
27,169.1316,29.2563,0.047,14.29,0.93,76
28,190.3042,18.5539,0.072,14.73,1.3,87
29,159.7771,5.1123,0.069,14.59,1.16,74
30,329.3637,-7.7877,0.058,14.45,1.05,86
31,234.9381,21.7405,0.041,14.58,1.17,109
32,358.5345,-10.3766,0.076,14.81,1.38,78
34,207.2288,26.6148,0.063,14.82,1.4,95
35,164.634,1.6037,0.04,14.05,0.78,50
36,202.7342,-1.8838,0.086,14.82,1.38,77
37,241.5638,15.6789,0.04,15.17,1.83,221
38,173.6865,49.0815,0.033,14.34,0.97,98
39,229.8875,20.8222,0.04,14.22,0.89,55
40,223.6396,18.6078,0.058,14.53,1.11,81
41,117.0449,18.552,0.047,14.4,1.01,59
42,244.4189,35.0411,0.031,14.6,1.19,107
44,229.6038,4.5283,0.037,14.38,1.0,61
45,184.4023,3.639,0.077,15.04,1.64,100
46,127.1567,30.4313,0.05,14.69,1.26,83
47,241.306,16.4602,0.044,15.15,1.8,232
48,14.0058,-10.0165,0.055,14.5,1.09,72
49,176.8442,55.7178,0.051,14.66,1.24,83
50,214.3435,2.0353,0.054,14.5,1.09,69
51,214.4332,8.196,0.057,14.43,1.04,69
52,176.3217,33.3532,0.032,14.1,0.81,67
53,208.2782,5.1703,0.079,14.68,1.24,70
54,203.9791,59.2357,0.071,14.86,1.43,108
57,180.0944,56.2254,0.064,14.62,1.2,69
58,226.1477,28.4716,0.058,14.45,1.05,62
61,173.2294,14.4326,0.081,14.83,1.4,61
62,195.6601,-2.5423,0.083,14.62,1.18,57
64,146.571,43.1473,0.073,14.12,0.81,24
65,230.4156,7.7193,0.045,14.57,1.15,74
66,197.7928,39.2503,0.072,14.79,1.36,55
68,205.4739,26.3809,0.075,14.46,1.05,39
69,146.7111,54.4917,0.047,14.45,1.06,66
70,167.1201,44.0939,0.059,14.38,1.0,66
71,200.0644,33.1644,0.036,14.41,1.02,57
73,245.6562,37.9252,0.031,14.53,1.13,75
74,208.0007,46.3667,0.063,14.39,1.0,53
77,177.0543,54.6677,0.06,14.26,0.9,54
79,170.4099,2.8163,0.049,14.3,0.94,49
80,228.803,4.3649,0.097,14.68,1.24,43
82,168.8992,54.5174,0.07,14.57,1.14,57
83,227.9499,4.502,0.036,14.4,1.02,54
85,196.0038,19.2772,0.064,14.6,1.17,54
86,116.5758,18.3162,0.052,14.26,0.91,49
87,174.0717,55.0578,0.057,14.02,0.75,44
88,233.1359,4.7342,0.038,14.04,0.77,38
89,170.7403,1.0701,0.074,14.3,0.93,38
90,122.4772,35.1596,0.083,14.67,1.23,41
93,186.5582,31.1117,0.06,13.92,0.7,26
94,179.2471,5.0477,0.075,14.59,1.16,53
95,187.4236,11.7516,0.086,14.88,1.45,74
96,231.0865,20.7606,0.04,14.16,0.84,47
97,140.0518,54.8904,0.045,14.12,0.82,34
98,155.392,23.9116,0.039,14.16,0.84,51
99,158.3152,56.7684,0.045,14.07,0.78,47
100,183.6602,59.9266,0.06,14.22,0.88,47
101,51.3858,-0.58,0.037,13.81,0.64,22
102,165.2002,10.4066,0.036,14.65,1.23,65
103,157.94,40.1824,0.067,14.14,0.82,38
104,236.2194,36.1064,0.066,14.7,1.27,67
105,7.3223,-0.2126,0.06,14.2,0.87,33
106,172.3877,54.1117,0.069,14.41,1.02,51
107,212.5518,54.9166,0.042,13.91,0.69,33
108,252.6651,23.5084,0.036,13.93,0.71,37
110,18.2482,15.4844,0.043,14.25,0.9,52
111,184.6299,5.214,0.077,14.6,1.17,42
112,238.8791,41.6157,0.034,14.2,0.87,38
114,176.4182,15.5056,0.068,14.27,0.91,37
115,246.7696,14.1874,0.051,13.89,0.69,27
116,168.7743,25.8728,0.048,13.97,0.73,43
118,152.5112,54.435,0.046,14.32,0.95,60
119,238.1031,27.7115,0.082,13.99,0.73,20
120,170.5107,34.3465,0.035,13.59,0.54,34
121,194.6833,-1.7481,0.084,14.7,1.26,48
122,216.0279,26.2658,0.038,13.82,0.65,32
125,24.3436,-9.193,0.041,14.18,0.86,54
126,199.8197,-0.9386,0.083,14.62,1.19,37
127,17.4503,14.1071,0.06,14.54,1.12,51
128,240.3577,53.9616,0.065,13.98,0.73,24
129,175.3044,5.7204,0.097,14.27,0.9,23
130,255.6457,33.5499,0.086,15.02,1.61,80
132,207.3671,28.0318,0.076,14.59,1.16,43
135,207.9144,9.4982,0.065,14.51,1.09,43
136,222.1278,11.2865,0.052,14.37,0.99,49
137,150.6702,32.7208,0.051,14.09,0.8,46
140,155.4981,38.5215,0.054,14.54,1.13,63
141,245.2292,29.8382,0.097,14.6,1.16,35
142,248.0229,13.6468,0.053,14.18,0.85,44
143,192.2485,-1.7069,0.087,14.97,1.55,65
144,134.9522,39.3855,0.095,14.26,0.89,34
147,228.0394,1.8068,0.039,14.09,0.8,21
148,257.4347,34.4547,0.085,15.03,1.63,76
149,196.4868,9.4838,0.055,14.04,0.77,27
151,248.8257,26.6174,0.07,13.81,0.64,21
153,239.6032,18.0424,0.046,14.38,1.0,52
154,161.7944,38.964,0.036,14.25,0.91,33
156,156.2606,17.135,0.045,13.8,0.64,22
157,232.311,52.8639,0.073,14.27,0.91,34
158,163.5235,54.8282,0.072,14.39,1.0,42
159,223.5304,54.2627,0.099,14.17,0.83,29
160,230.8448,31.0494,0.074,14.44,1.03,33
164,170.6277,34.0755,0.043,13.87,0.68,36
166,138.221,47.728,0.051,14.14,0.83,32
168,205.9135,55.6228,0.068,13.93,0.7,34
170,232.3015,7.5732,0.043,14.03,0.76,29
171,173.7788,21.1512,0.064,13.85,0.66,22
172,10.7605,15.2429,0.079,14.34,0.96,32
173,27.301,14.0424,0.07,13.88,0.68,22
174,134.5701,38.528,0.093,14.23,0.88,32
175,151.0412,54.6353,0.047,14.39,1.0,43
176,227.7767,5.2948,0.08,14.76,1.32,37
179,248.3581,11.834,0.052,14.23,0.89,37
180,260.6725,30.8284,0.046,14.26,0.91,39
181,227.4433,8.8004,0.08,14.47,1.06,29
182,233.3925,31.0837,0.067,14.25,0.89,30
183,30.565,-1.0403,0.042,14.04,0.77,28
184,117.3782,52.097,0.069,14.37,0.98,41
186,203.1493,32.5997,0.036,14.05,0.78,40
187,188.8342,1.831,0.08,14.23,0.88,23
188,59.362,-5.3835,0.066,13.87,0.67,20
189,182.5888,5.3469,0.077,14.61,1.18,47
190,254.1129,39.2791,0.062,14.07,0.78,31
192,218.3383,52.8728,0.045,14.05,0.78,36
193,156.7968,11.016,0.032,13.37,0.46,27
194,239.1577,25.8093,0.072,14.31,0.94,22
196,206.1913,29.7351,0.062,14.09,0.8,30
198,136.9208,52.0922,0.061,14.12,0.81,36
199,122.6209,42.2998,0.064,14.17,0.85,31
201,129.816,28.7763,0.08,14.43,1.03,30
203,186.8957,8.8389,0.089,14.87,1.44,68
204,229.9829,25.7578,0.033,14.06,0.78,36
205,225.5257,21.2966,0.062,14.33,0.96,31
206,135.5553,20.6192,0.082,14.29,0.92,29
207,240.8769,14.7888,0.036,14.25,0.9,49
208,168.1048,57.0575,0.047,14.09,0.8,33
209,209.9132,28.539,0.063,14.17,0.85,29
210,234.9841,17.8575,0.09,14.65,1.21,41
212,162.9201,55.339,0.074,13.91,0.69,29
213,180.7591,54.7744,0.05,14.06,0.78,31
216,243.2548,30.9166,0.05,14.51,1.1,43
221,183.2659,59.2576,0.096,13.85,0.65,21
222,242.8492,36.995,0.067,14.1,0.8,23
223,206.6898,45.715,0.065,13.97,0.72,28
224,133.5641,29.0514,0.084,14.58,1.15,33
228,227.8607,-0.1083,0.091,14.22,0.87,25
230,128.9867,38.5113,0.057,14.07,0.79,31
231,191.7995,55.0208,0.083,14.42,1.02,25
